"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","total_input_tokens","total_output_tokens","total_cache_creation_tokens","total_cache_read_tokens"
"2026-02-05","another-stves","copilot","copilot_premium_request","Claude Haiku 4.5","1.32","requests","0.04","0.0528","0.0528","0","False","300","stves-avo-org","","190","855","50146","32378"
"2026-02-05","arilivigni","copilot","copilot_premium_request","Claude Opus 4.5","63","requests","0.04","2.5200000000000014","2.5200000000000014","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","7745","5470","250538","205189"
"2026-02-05","gmondello","copilot","copilot_premium_request","Claude Opus 4.5","24","requests","0.04","0.96","0.96","0","False","1000","emea-avo-waffle","greg-test","2270","1583","349453","161460"
"2026-02-05","arilivigni","copilot","copilot_premium_request","Claude Opus 4.6","21","requests","0.04","0.84","0.84","0","False","1000","ghlearn-universe","cc_with_org_with_repo_usage","1266","1711","92597","101811"
"2026-02-05","glorialangreo","copilot","copilot_premium_request","Claude Sonnet 4.5","3","requests","0.04","0.12","0.12","0","False","1000","github","","70046","664","0","3385"
"2026-02-05","another-stves","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","stves-avo-org","","435","506","26813","12248"
"2026-02-05","LindseyB","copilot","copilot_premium_request","GPT-5.2","8","requests","0.04","0.32","0.32","0","False","1000","evil-copilot-avocado","","28683","4861","0","58624"
"2026-02-05","kathleenqin","copilot","copilot_premium_request","GPT-5.2","2","requests","0.04","0.08","0.08","0","False","1000","github","[org team] cost-center-automation/the-a-team","288","900","0","13952"
"2026-02-05","optimisticjc","copilot","copilot_premium_request","GPT-5.2","5","requests","0.04","0.2","0.2","0","False","1000","optimisticjc-ceviche","","5795","2312","0","35712"
"2026-02-05","optimisticjc","copilot","copilot_premium_request","Gemini 2.5 Pro","4","requests","0.04","0.16","0.16","0","False","1000","optimisticjc-ceviche","","12504","1800","0","16509"
